Department,Semester,Gender,Age,Course,GPA,Credits Earned,Attendance (%),Study Hours per Day,Previous Marks (%),Assignment Score,Subject Average (%),Subject Attendance Average (%),Predicted Result
Electronics,3,Non-binary,20,MBA,7.6,21,72,2.5,43,9.7,68.1,63.4,On Track
Business Analytics,8,Non-binary,18,MCA,6.3,51,59,5.0,74,7.1,87.6,52.8,On Track
Computer Science,4,Male,17,B.Sc,6.7,35,61,3.2,46,7.3,57.7,59.9,On Track
Electronics,5,Male,21,B.Tech,8.1,39,53,4.2,77,6.5,82.1,46.7,On Track
Electronics,5,Male,25,MBA,8.2,29,69,4.8,38,6.9,74.4,62.7,On Track
Electronics,4,Female,18,B.Tech,6.8,25,66,1.8,84,8.2,84.9,55.8,On Track
Mechanical,8,Non-binary,22,BCA,7.2,46,51,1.4,41,3.7,51.5,50.9,At Risk
Mechanical,6,Non-binary,23,B.Sc,8.9,48,85,0.8,45,7.7,71.4,79.9,On Track
Electronics,1,Non-binary,23,B.Sc,7.0,21,56,0.8,65,8.5,70.1,49.0,On Track
Electronics,1,Non-binary,22,MBA,5.6,20,95,6.4,58,9.7,85.7,82.3,On Track
Electronics,2,Male,18,MBA,5.5,31,96,5.6,47,5.2,76.4,92.3,On Track
Information Technology,6,Male,23,MBA,9.2,42,59,5.1,57,3.7,75.0,53.1,On Track
Electronics,2,Female,23,B.Sc,7.2,22,54,5.6,87,5.1,89.7,52.2,On Track
Civil,7,Female,18,BCA,9.1,37,76,5.4,73,6.5,84.8,68.8,On Track
Business Analytics,8,Male,24,BCA,9.1,46,80,6.2,54,8.0,83.4,76.3,On Track
Electronics,5,Female,18,MBA,4.9,29,75,5.5,93,5.2,87.1,68.2,On Track
Civil,6,Female,19,B.Sc,6.8,33,97,3.9,57,9.3,76.2,91.8,On Track
Information Technology,7,Male,25,MCA,6.1,39,69,4.1,38,7.5,62.8,65.1,At Risk
Mechanical,4,Female,24,BCA,8.1,33,82,1.6,75,7.1,81.2,74.7,On Track
